"","Player","height","X3P","X3PA"
"156","Derrick Favors",208,0,0.1
"157","Derrick Rose",190,1.2,3.9
"158","Derrick Williams",190,1.4,4.8
"159","DeSagana Diop",213,0,0
"160","DeShawn Stevenson",196,1.6,4.7
"161","Devin Booker",198,2.5,6.9
"162","Devin Ebanks",206,0.6,2.7
"163","Devin Harris",190,1.7,5.2
"164","Devyn Marble",198,1.3,6
"165","Dewayne Dedmon",213,0,0
"166","Dexter Pittman",211,0,0
"167","Diante Garrett",190,1.7,4.9
"168","Dion Waiters",193,2.1,6.1
"169","Dirk Nowitzki",213,1.9,5
"170","Domantas Sabonis",211,1.5,4.8
"171","Dominic McGuire",206,0,0.2
"172","Dominique Jones",203,0.1,1.5
"173","Donald Sloan",190,1.3,4.3
"174","Donatas Motiejunas",213,1.3,4.4
"175","Dorell Wright",206,2.6,7.2
"176","Dorian Finney-Smith",203,1.8,6.1
"177","Doron Lamb",193,2,5.1
"178","Doug McDermott",203,2.7,6.9
"179","Dragan Bender",216,2.3,8.4
"180","Draymond Green",201,1.7,5
"181","Drew Gooden",208,0.2,0.9
"182","Dwight Howard",211,0,0.1
"183","Dwight Powell",211,0.5,2
"184","Dwyane Wade",193,0.7,2.5
"185","E'Twaun Moore",208,2,5.4
"186","Earl Barron",213,0.1,0.5
"187","Earl Clark",208,1.2,3.6
"188","Earl Watson",185,1.3,4.1
"189","Ed Davis",208,0,0
"190","Eddy Curry",213,0,0
"191","Ekpe Udoh",208,0,0
"192","Elfrid Payton",193,0.6,2
"193","Elijah Millsap",198,1.4,4.9
"194","Elliot Williams",196,1.8,5.8
"195","Elton Brand",203,0,0
"196","Emeka Okafor",208,0,0
"197","Emmanuel Mudiay",196,1.9,5.9
"198","Enes Kanter",211,0.2,0.6
"199","Eric Bledsoe",185,1.6,4.8
"200","Eric Gordon",193,3.2,8.4
"201","Eric Maynor",190,1.5,4.2
"202","Erick Green",193,1.7,5.8
"203","Ersan Ilyasova",208,2.3,6.3
"204","Evan Fournier",201,2.9,7.5
"205","Evan Turner",201,0.7,2.5
"206","Festus Ezeli",211,0,0
"207","Francisco Garcia",201,2.5,7
"208","Frank Kaminsky",213,2.5,7.6
"209","Furkan Aldemir",208,0,0.5
"210","Garrett Temple",198,1.9,5.6
"211","Gary Harris",193,2.3,6.6
